date,price
2/22/2013,152.97
2/25/2013,154.34
2/26/2013,156.22
2/27/2013,154.57
2/28/2013,153
3/1/2013,152.44
3/4/2013,152.3
3/5/2013,152.38
3/6/2013,153.23
3/7/2013,152.69
3/8/2013,152.71
3/11/2013,152.99
3/12/2013,154.19
3/13/2013,153.66
3/14/2013,153.68
3/15/2013,154.001
3/18/2013,155.38
3/19/2013,156.08
3/20/2013,155.37
3/21/2013,156.246
3/22/2013,155.55
3/25/2013,155.24
3/26/2013,154.72
3/27/2013,155.36
3/28/2013,154.47
4/1/2013,154.67
4/2/2013,152.43
4/3/2013,150.73
4/4/2013,150.29
4/5/2013,152.81
4/8/2013,152.16
4/9/2013,153.34
4/10/2013,150.75
4/11/2013,151.05
4/12/2013,143.95
4/15/2013,131.31
4/16/2013,132.8
4/17/2013,132.87
4/18/2013,134.3
4/19/2013,135.47
4/22/2013,137.9
4/23/2013,136.88
4/24/2013,138.3699
4/25/2013,141.63
4/26/2013,140.91
4/29/2013,142.3
4/30/2013,142.77
5/1/2013,141.11
5/2/2013,141.92
5/3/2013,142.09
5/6/2013,142.15
5/7/2013,140.38
5/8/2013,142.46
5/9/2013,140.81
5/10/2013,139.6
5/13/2013,138.43
5/14/2013,137.81
5/15/2013,134.63
5/16/2013,134.09
5/17/2013,131.07
5/20/2013,135.12
5/21/2013,132.88
5/22/2013,131.94
5/23/2013,134.61
5/24/2013,133.76
5/28/2013,133.49
5/29/2013,134.83
5/30/2013,136.7
5/31/2013,133.92
6/3/2013,136.51
6/4/2013,135.23
6/5/2013,135.52
6/6/2013,136.53
6/7/2013,133.28
6/10/2013,133.94
6/11/2013,133.25
6/12/2013,134.25
6/13/2013,133.74
6/14/2013,134.43
6/17/2013,133.77
6/18/2013,132.13
6/19/2013,130.59
6/20/2013,123.6
6/21/2013,125.05
6/24/2013,123.93
6/25/2013,123.47
6/26/2013,118.28
6/27/2013,115.94
6/28/2013,119.11
7/1/2013,121.13
7/2/2013,120.05
7/3/2013,120.74
7/5/2013,118.09
7/8/2013,119.51
7/9/2013,120.62
7/10/2013,120.95
7/11/2013,124.24
7/12/2013,124.13
7/15/2013,124.18
7/16/2013,124.89
7/17/2013,123.32
7/18/2013,124.01
7/19/2013,125.11
7/22/2013,128.84
7/23/2013,129.71
7/24/2013,127.48
7/25/2013,128.67
7/26/2013,128.78
7/29/2013,128.47
7/30/2013,128.12
7/31/2013,127.96
8/1/2013,126.61
8/2/2013,126.36
8/5/2013,125.7
8/6/2013,123.97
8/7/2013,124.15
8/8/2013,126.86
8/9/2013,126.86
8/12/2013,129.13
8/13/2013,127.74
8/14/2013,129
8/15/2013,131.69
8/16/2013,132.58
8/19/2013,132.01
8/20/2013,132.45
8/21/2013,132.07
8/22/2013,132.81
8/23/2013,134.9
8/26/2013,135.45
8/27/2013,136.75
8/28/2013,136.71
8/29/2013,135.87
8/30/2013,134.62
9/3/2013,136.42
9/4/2013,134.66
9/5/2013,132.2
9/6/2013,134.15
9/9/2013,133.91
9/10/2013,131.74
9/11/2013,131.7
9/12/2013,127.67
9/13/2013,127.82
9/16/2013,126.45
9/17/2013,126.5
9/18/2013,132.01
9/19/2013,131.75
9/20/2013,127.96
9/23/2013,127.55
9/24/2013,127.66
9/25/2013,128.79
9/26/2013,127.79
9/27/2013,128.97
9/30/2013,128.18
10/1/2013,124.59
10/2/2013,127.06
10/3/2013,127.18
10/4/2013,126.53
10/7/2013,127.64
10/8/2013,127.4
10/9/2013,126.11
10/10/2013,124.27
10/11/2013,122.6
10/14/2013,122.83
10/15/2013,123.73
10/16/2013,123.54
10/17/2013,127.42
10/18/2013,126.85
10/21/2013,126.98
10/22/2013,129.34
10/23/2013,128.69
10/24/2013,129.9
10/25/2013,130.46
10/28/2013,130.56
10/29/2013,129.77
10/30/2013,129.6
10/31/2013,127.74
11/1/2013,126.95
11/4/2013,126.81
11/5/2013,126.56
11/6/2013,127.2
11/7/2013,126.16
11/8/2013,124.279
11/11/2013,123.87
11/12/2013,122.45
11/13/2013,122.85
11/14/2013,124.27
11/15/2013,124.32
11/18/2013,122.9
11/19/2013,122.95
11/20/2013,120.12
11/21/2013,119.94
11/22/2013,119.92
11/25/2013,120.46
11/26/2013,119.82
11/27/2013,119.46
11/29/2013,120.7
12/2/2013,117.58
12/3/2013,117.96
12/4/2013,119.96
12/5/2013,118.3
12/6/2013,118.55
12/9/2013,119.72
12/10/2013,121.82
12/11/2013,120.86
12/12/2013,118.29
12/13/2013,119.38
12/16/2013,119.69
12/17/2013,118.65
12/18/2013,117.61
12/19/2013,114.82
12/20/2013,115.94
12/23/2013,115.57
12/24/2013,116.1
12/26/2013,116.74
12/27/2013,117.12
12/30/2013,115.39
12/31/2013,116.12
1/2/2014,118
1/3/2014,119.29
1/6/2014,119.5
1/7/2014,118.82
1/8/2014,118.12
1/9/2014,118.46
1/10/2014,120.26
1/13/2014,121.02
1/14/2014,119.89
1/15/2014,119.66
1/16/2014,119.79
1/17/2014,120.93
1/21/2014,119.7
1/22/2014,119.19
1/23/2014,121.79
1/24/2014,122.29
1/27/2014,120.96
1/28/2014,120.95
1/29/2014,122.47
1/30/2014,119.77
1/31/2014,120.09
2/3/2014,121.32
2/4/2014,120.99
2/5/2014,121.29
2/6/2014,121.24
2/7/2014,122.17
2/10/2014,122.92
2/11/2014,124.36
2/12/2014,124.43
2/13/2014,125.49
2/14/2014,127.15
2/18/2014,127.4
2/19/2014,126.27
2/20/2014,127.6
2/21/2014,127.58
2/24/2014,128.99
2/25/2014,129.21
2/26/2014,128.11
2/27/2014,128.2
2/28/2014,127.62
3/3/2014,130.29
3/4/2014,128.68
3/5/2014,128.89
3/6/2014,130.17
3/7/2014,129.09
3/10/2014,129.13
3/11/2014,129.86
3/12/2014,131.76
3/13/2014,132.21
3/14/2014,133.1
3/17/2014,131.64
3/18/2014,130.62
3/19/2014,128.09
3/20/2014,127.86
3/21/2014,128.47
3/24/2014,126.18
3/25/2014,126.41
3/26/2014,125.41
3/27/2014,124.59
3/28/2014,124.56
3/31/2014,123.61
4/1/2014,123.39
4/2/2014,124.32
4/3/2014,123.92
4/4/2014,125.57
4/7/2014,124.91
