[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [INSTRUMENT_NAME], [BASE_CURRENCY], [CONTRACT_SIZE], [UNDERLYING_INDEX], [UNDERLYING_PRICE], [EXPIRY_DATE], [EXPIRY_UNIX], [EXPIRY_TIME], [DTE], [OPTION_RIGHT], [STRIKE], [BID_SIZE], [BID_PRICE], [ASK_PRICE], [ASK_SIZE], [OPEN_INTEREST], [VOLUME], [DELTA], [GAMMA], [VEGA], [THETA], [RHO], [MARK_IV], [STRIKE_DISTANCE_PCT]
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-60000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34228.510000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 60000.000000, 16.100000, 0.022000, 0.023500, 0.600000, 563.300000, 2.800000, 0.128920, 0.000010, 30.418870, -23.122840, 6.486830, 99.070000, 0.766040
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-60000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34228.510000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 60000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , -0.871080, 0.000010, 30.418870, -23.122840, -100.635320, 99.070000, 0.766040
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-70000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34297.500000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 70000.000000, 15.800000, 0.012000, 0.013500, 13.700000, 483.000000, 5.300000, 0.077620, 0.000010, 21.058330, -16.645630, 3.960310, 103.020000, 1.056430
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-70000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34308.980000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 70000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , -0.922240, 0.000010, 21.093960, -16.675470, -121.008740, 103.030000, 1.055410
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-80000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34302.070000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 80000.000000, 15.400000, 0.007500, 0.008500, 12.700000, 1512.400000, 27.000000, 0.049800, 0.000010, 14.901020, -12.234340, 2.558280, 107.010000, 1.350110
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-80000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34300.790000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 80000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , -0.950200, 0.000010, 14.900150, -12.234020, -140.272950, 107.010000, 1.349750
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-90000-C, BTC, 1.000000, SYN.BTC-27AUG21, 34219.780000, 2021-08-27, 1630051200, 4.000000, 65.166120, call, 90000.000000, 57.900000, 0.004500, 0.006000, 12.700000, 981.200000, 33.000000, 0.033430, 0.000000, 10.759080, -9.141960, 1.720760, 110.740000, 1.650450
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-27AUG21-90000-P, BTC, 1.000000, SYN.BTC-27AUG21, 34306.620000, 2021-08-27, 1630051200, 4.000000, 65.166120, put, 90000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , -0.966130, 0.000000, 10.902910, -9.265860, -158.937710, 110.760000, 1.643280
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-8000-C, BTC, 1.000000, BTC-24SEP21, 34505.460000, 2021-09-24, 1632470400, 4.000000, 93.166120, call, 8000.000000, 5.000000, 0.001000, 0.000000, 0.000000, 169.600000, 11.900000, 0.993700, 0.000000, 3.094250, -2.228340, 19.713420, 134.190000, 0.765110
1624420847, 2021-06-23 00:00, 2021-06-23, 0.000000, BTC-24SEP21-8000-P, BTC, 1.000000, BTC-24SEP21, 34495.310000, 2021-09-24, 1632470400, 4.000000, 93.166120, put, 8000.000000, 71.600000, 0.001500, 0.002000, 0.300000, 665.000000, 3.800000, -0.006310, 0.000000, 3.096660, -2.230080, -0.707340, 134.190000, 0.765130
